Epic,Ticket ID,Issue Type,Summary,Description,Acceptance Criteria,Story Points,Dependencies,Owner,Sprint,Labels
"M4-E1 KYC and Sanctions","M4-T1","Story","Normalize KYC states and provider integration","Standardize KYC states and wire KYC provider flow into backend.","KYC statuses normalized; KYC route and records aligned; sandbox fallback retained.",8,"M1-T1;M3-T1","BE1","M04","month-04;backend;kyc;compliance"
"M4-E1 KYC and Sanctions","M4-T2","Story","Harden sanctions screening and caching","Improve sanctions screening reuse and persistence logic.","Repeated screenings reuse stored results where allowed; statuses normalized.",5,"M1-T1","BE2","M04","month-04;backend;sanctions;compliance"
"M4-E1 KYC and Sanctions","M4-T3","Story","Add compliance policy helper","Create shared compliance policy layer used by transfer safety and routing.","Compliance helper produces clear/review/block policy decisions.",5,"M4-T1;M4-T2","SEC1","M04","month-04;backend;policy;compliance"
"M4-E2 Risk and Review Queue","M4-T4","Story","Improve risk scoring and reasons model","Refine scoring model and structured reasons for transfer risk.","Risk records include normalized reasons and stable scoring outputs.",5,"M1-T1","BE2","M04","month-04;backend;risk;compliance"
"M4-E2 Risk and Review Queue","M4-T5","Story","Add manual review case table and service","Create review-case persistence and service for flagged transfers.","Manual review cases can be created, assigned, updated, and resolved.",5,"M4-T3;M4-T4","DE1","M04","month-04;backend;manual-review;schema"
"M4-E2 Risk and Review Queue","M4-T6","Story","Apply clear/review/block decisions in transfer service","Use review outcomes to gate transfer creation and status.","Transfer service blocks or routes to review based on compliance decision.",2,"M4-T5","BE1","M04","month-04;backend;transfer-service;compliance"
"M4-E3 Compliance UI","M4-T7","Story","Update compliance dashboard","Add review queue and compliance status visibility to FE screens.","Compliance screen shows KYC, sanctions, risk, and review queue states.",5,"M4-T5","FE1","M04","month-04;frontend;compliance;dashboard"
"M4-E3 Compliance UI","M4-T8","Story","Update launch checklist for compliance milestone","Reflect compliance readiness work on launch checklist screen.","Checklist shows compliance items with accurate states and next steps.",1,"M4-T7","FE1","M04","month-04;frontend;launch-checklist;compliance"

"M5-E1 Recipient Persistence","M5-T1","Story","Add recipients table and record layer","Create persistent recipients table and backend record access layer.","Recipients can be created, listed, updated, and loaded from DB.",5,"M4-T5","DE1","M05","month-05;backend;recipients;schema"
"M5-E1 Recipient Persistence","M5-T2","Story","Refactor recipients API to DB-backed model","Move recipients API from static/mock behavior to persisted records.","Recipients API reads/writes database-backed records with auth scoping.",5,"M5-T1","BE1","M05","month-05;backend;recipients;api"
"M5-E1 Recipient Persistence","M5-T3","Story","Connect send flow to persistent recipients","Use persistent recipients in send flow and recipients page.","Recipient selection and manage-recipient flows use live API data.",5,"M5-T2","FE1","M05","month-05;frontend;recipients;send-money"
"M5-E2 Corridor Config and Policy","M5-T4","Story","Add corridor config table and service","Create corridor config storage for limits, methods, and supported rails.","Corridor config can be queried by source/destination and payout type.",5,"","DE1","M05","month-05;backend;corridors;schema"
"M5-E2 Corridor Config and Policy","M5-T5","Story","Apply corridor rules to quotes and transfers","Enforce corridor support, limits, and method restrictions in backend.","Unsupported corridors blocked; limits enforced; quote reflects corridor constraints.",5,"M5-T4","BE2","M05","month-05;backend;corridors;quotes;transfers"
"M5-E2 Corridor Config and Policy","M5-T6","Story","Surface recipient limits and corridor warnings in UI","Show corridor warnings and recipient-specific limits in send flow.","Amount/review screens surface unsupported methods, limits, and warnings.",2,"M5-T5","FE1","M05","month-05;frontend;corridors;ux"

"M6-E1 Approval Workflows","M6-T1","Story","Add approval tables and service","Create approval request persistence and service for high-risk actions.","Approval requests can be created, updated, and queried by status.",5,"M4-T5","DE1","M06","month-06;backend;approvals;schema"
"M6-E1 Approval Workflows","M6-T2","Story","Add admin review routes","Create admin routes to list, approve, reject, and comment on reviews.","Admin review APIs support approval lifecycle with auth checks.",5,"M6-T1","BE1","M06","month-06;backend;admin;approvals"
"M6-E1 Approval Workflows","M6-T3","Story","Integrate approval requirement into transfers","Require approval for transfers above configured thresholds.","Transfers requiring approval enter pending state until approved.",2,"M6-T1","BE2","M06","month-06;backend;transfers;approvals"
"M6-E2 Role-Based Admin and Ops","M6-T4","Story","Add admin permission helper","Create reusable permission helper for admin and ops routes.","Admin routes consistently enforce role checks and permissions.",2,"","SEC1","M06","month-06;backend;security;rbac"
"M6-E2 Role-Based Admin and Ops","M6-T5","Story","Add admin transfers and limits routes","Provide admin APIs for transfer search and policy limit management.","Admin can query transfers and update configured thresholds safely.",5,"M6-T4","BE1","M06","month-06;backend;admin;limits"
"M6-E2 Role-Based Admin and Ops","M6-T6","Story","Build admin setup and security screens","Add FE views for admin setup, limits, approvals, and compliance ops.","Authorized users can review approvals and configure limits from UI.",8,"M6-T2;M6-T5","FE1","M06","month-06;frontend;admin;security;setup"

"M7-E1 XRPL Client and Services","M7-T1","Story","Build XRPL client wrapper","Create XRPL client wrapper for network access, config, and retries.","XRPL wrapper supports testnet config, health checks, and submission helpers.",5,"M6-T6","BC1","M07","month-07;xrpl;backend;infrastructure"
"M7-E1 XRPL Client and Services","M7-T2","Story","Build wallet and signing service","Create wallet management and signing abstraction for XRPL operations.","Wallet service supports key loading, signing, and environment separation.",8,"M7-T1","BC1","M07","month-07;xrpl;wallets;security"
"M7-E1 XRPL Client and Services","M7-T3","Story","Build XRPL transaction builder and submission layer","Create reusable transaction builders and submission utilities.","XRPL transaction service prepares and submits payments with normalized result shape.",8,"M7-T1;M7-T2","BC1","M07","month-07;xrpl;transactions;backend"
"M7-E2 Settlement Integration","M7-T4","Story","Refactor XRPL settlement prep into live settlement abstraction","Turn current XRPL prep logic into live-settlement-ready abstraction.","Settlement layer can produce prepared and live submission payloads.",5,"M7-T3","BC1","M07","month-07;xrpl;settlement;backend"
"M7-E2 Settlement Integration","M7-T5","Story","Add tx hash and ledger metadata persistence","Persist tx hash and ledger metadata on transfer records.","Transfer records store tx hash, account, tags, memo, and ledger status.",2,"M7-T4","BE2","M07","month-07;backend;xrpl;schema"
"M7-E2 Settlement Integration","M7-T6","Story","Expose XRPL settlement details in transfer responses","Return settlement metadata from transfer APIs.","Transfer API includes tx hash and settlement metadata when available.",2,"M7-T5","BE2","M07","month-07;backend;xrpl;api"
"M7-E3 Frontend Ledger Visibility","M7-T7","Story","Show ledger data on review, success, and receipt","Display XRPL settlement details in FE flow and receipts.","Users and operators can view tx hash and ledger status in UI.",5,"M7-T6","FE1","M07","month-07;frontend;xrpl;receipt"

"M8-E1 Rail Selection","M8-T1","Story","Build rail selector service","Create service to choose RLUSD or XRP based on policy and corridor.","Rail selector returns chosen asset, rationale, and fallback behavior.",5,"M7-T4","BC1","M08","month-08;xrpl;rails;backend"
"M8-E1 Rail Selection","M8-T2","Story","Add RLUSD service layer","Implement RLUSD-specific trust-line, payment, and settlement helpers.","RLUSD service prepares token payments and validates prerequisites.",8,"M7-T3","BC1","M08","month-08;xrpl;rlusd;backend"
"M8-E1 Rail Selection","M8-T3","Story","Add XRP bridge service layer","Implement XRP-specific bridge/payment helpers for settlement routing.","XRP bridge service prepares XRP settlement path and result metadata.",5,"M7-T3","BC1","M08","month-08;xrpl;xrp;backend"
"M8-E1 Rail Selection","M8-T4","Story","Integrate rail selection into quotes and transfers","Apply rail choice in quote generation and transfer execution.","Quotes include rail; transfers execute on selected rail; policy respected.",5,"M8-T1;M8-T2;M8-T3","BE1","M08","month-08;backend;quotes;transfers;rails"
"M8-E2 Schema and UI Rail Support","M8-T5","Story","Persist asset and rail fields","Store selected asset and rail on quotes and transfer records.","Transfer and quote persistence include asset/rail metadata consistently.",2,"M8-T4","DE1","M08","month-08;backend;schema;rails"
"M8-E2 Schema and UI Rail Support","M8-T6","Story","Add rail selection and visibility in send flow","Display auto, RLUSD, or XRP choice in send flow UI.","User sees selected rail and supporting explanation in amount/review steps.",5,"M8-T4","FE1","M08","month-08;frontend;rails;send-money"
"M8-E2 Schema and UI Rail Support","M8-T7","Story","Update receipt and history to show settlement rail","Render asset and rail in receipts, history, and dashboards.","History and receipt views show XRP or RLUSD rail and related metadata.",2,"M8-T5","FE1","M08","month-08;frontend;rails;receipt;history"

"M9-E1 Ledger Event Processing","M9-T1","Story","Build ledger watcher service","Create service to monitor XRPL transaction confirmation and status changes.","Watcher can poll/subscribe and emit confirmed, failed, and expired states.",8,"M7-T4;M7-T6","BC1","M09","month-09;xrpl;watcher;backend"
"M9-E1 Ledger Event Processing","M9-T2","Story","Add ledger events table and ingestion route","Persist ledger events and expose ingestion/processing hooks.","Ledger events table stores tx events with transfer linkage and timestamps.",5,"M9-T1","DE1","M09","month-09;xrpl;schema;events"
"M9-E1 Ledger Event Processing","M9-T3","Story","Add settlement reconciler","Reconcile transfer records against ledger confirmations and payout state.","Reconciler flags mismatches and advances records when ledger confirms.",5,"M9-T2","DE1","M09","month-09;xrpl;reconciliation;backend"
"M9-E2 Pilot Corridor Ops","M9-T4","Story","Map one payout corridor to XRPL flow","Define and configure one live pilot corridor using XRPL settlement.","Pilot corridor configuration exists with funding, rail, and payout mapping.",5,"M8-T4","PM1","M09","month-09;pilot;corridor;xrpl"
"M9-E2 Pilot Corridor Ops","M9-T5","Story","Trigger payout only after ledger confirmation","Gate payout execution on confirmed XRPL settlement.","Payout is not queued before on-chain confirmation; status updates correctly.",5,"M9-T1;M9-T4","BE2","M09","month-09;backend;payouts;xrpl"
"M9-E2 Pilot Corridor Ops","M9-T6","Story","Add pilot monitoring dashboard","Expose pilot corridor metrics and statuses in dashboard UI.","Dashboard shows pilot corridor settlement, payout, and exception metrics.",2,"M9-T2","FE1","M09","month-09;frontend;pilot;dashboard"

"M10-E1 AI-Assisted Operations","M10-T1","Story","Add ops assistant service","Create service for AI-generated transfer and review summaries.","Ops assistant returns safe, structured summaries for internal workflows.",5,"M9-T6","FS1","M10","month-10;ai;ops;backend"
"M10-E1 AI-Assisted Operations","M10-T2","Story","Add transfer summary endpoint","Expose transfer-summary API for internal use.","Endpoint returns structured transfer summary with safe fields only.",2,"M10-T1","FS1","M10","month-10;ai;api;ops"
"M10-E1 AI-Assisted Operations","M10-T3","Story","Add review assistant endpoint","Expose compliance review assistance endpoint for internal teams.","Endpoint returns review summary and suggested next steps without auto-approval.",2,"M10-T1","FS1","M10","month-10;ai;api;compliance"
"M10-E1 AI-Assisted Operations","M10-T4","Story","Add assistant logs table","Persist internal AI assistant requests and responses metadata.","Assistant interactions logged with actor, action type, and timestamps.",1,"","DE1","M10","month-10;ai;schema;ops"
"M10-E2 UI Integration","M10-T5","Story","Surface AI summaries in compliance and history screens","Display internal AI summaries in relevant FE admin views.","Authorized operators can view AI summaries alongside transfer/review records.",5,"M10-T2;M10-T3","FE1","M10","month-10;frontend;ai;ops"

"M11-E1 Agent Identity and Policy","M11-T1","Story","Add agent tables","Create DB tables for agents, policies, budgets, and actions.","Agent tables support identity, policy, spend tracking, and action logs.",2,"M10-T4","DE1","M11","month-11;ai-agent;schema;backend"
"M11-E1 Agent Identity and Policy","M11-T2","Story","Build agent policies service","Create service for agent permissions, limits, allowed assets, and corridors.","Agent policy service resolves whether an action is allowed or must escalate.",5,"M11-T1","SEC1","M11","month-11;ai-agent;policy;backend"
"M11-E1 Agent Identity and Policy","M11-T3","Story","Build agent audit and action logging","Persist agent decisions, prompts, and transaction attempts.","Every agent-triggered action is logged with decision metadata and timestamps.",2,"M11-T1","BE1","M11","month-11;ai-agent;audit;backend"
"M11-E2 Agent Execution Path","M11-T4","Story","Build agent transfer execution service","Create service for policy-bound agent transfer execution.","Agent transfer service can prepare or execute allowed transfers under policy.",5,"M11-T2;M11-T3","BE2","M11","month-11;ai-agent;transfers;backend"
"M11-E2 Agent Execution Path","M11-T5","Story","Add agent transfer route","Expose route for controlled agent transfer execution.","Agent route validates identity, policy, limits, and returns auditable result.",2,"M11-T4","BE2","M11","month-11;ai-agent;api;transfers"
"M11-E2 Agent Execution Path","M11-T6","Story","Enforce approval thresholds and spend caps","Add policy gates for caps, approvals, and escalations in transfer flow.","Agent actions above thresholds require approval; caps block excess usage.",5,"M11-T2;M11-T4","SEC1","M11","month-11;ai-agent;limits;approvals"
"M11-E3 UI and Admin Visibility","M11-T7","Story","Add agent policy views","Add FE views to inspect agent policies, limits, and recent actions.","Admin UI displays agent config, spend usage, and action history.",5,"M11-T2","FE1","M11","month-11;frontend;ai-agent;admin"

"M12-E1 Advanced XRPL Controls","M12-T1","Story","Build multisig service","Create XRPL multisig service for high-risk treasury actions.","Multisig service can create/sign/track multisig requests for protected actions.",5,"M11-T6","BC1","M12","month-12;xrpl;multisig;security"
"M12-E1 Advanced XRPL Controls","M12-T2","Story","Build escrow service","Create XRPL escrow service for conditional release flows.","Escrow service can create, monitor, and release/cancel escrow records.",5,"M7-T3","BC1","M12","month-12;xrpl;escrow;backend"
"M12-E1 Advanced XRPL Controls","M12-T3","Story","Add wallet payout service","Support direct wallet payout mode in addition to fiat payout.","Wallet payout service can prepare and record direct on-chain payout flows.",5,"M8-T4","BC1","M12","month-12;xrpl;wallet-payouts;backend"
"M12-E2 Schema and UI Finalization","M12-T4","Story","Add wallet payout, multisig, and escrow tables","Create persistence for advanced XRPL controls.","Schema includes wallet payout, multisig request, and escrow record tables.",2,"M12-T1;M12-T2;M12-T3","DE1","M12","month-12;schema;xrpl;advanced-controls"
"M12-E2 Schema and UI Finalization","M12-T5","Story","Surface advanced settlement controls in UI","Expose advanced settlement state in integrations, checklist, and receipts.","UI shows wallet payout, multisig, and escrow states to authorized users.",5,"M12-T4","FE1","M12","month-12;frontend;xrpl;advanced-controls"
"M12-E3 Production Readiness","M12-T6","Story","Run security review and create runbooks","Perform security/compliance review and write operational runbooks.","Runbooks cover incident response, approvals, wallet ops, and rollback steps.",5,"M12-T1;M12-T2;M12-T3","SEC1","M12","month-12;security;ops;runbooks"
"M12-E3 Production Readiness","M12-T7","Story","Execute end-to-end release validation","Run final E2E validation across funding, transfers, XRPL settlement, payouts, and agent controls.","Release checklist passes; critical defects resolved; sign-off recorded.",5,"M12-T4;M12-T5;M12-T6","QA1","M12","month-12;qa;release;validation"
